PHYS 2150,CHEM 1113,PHYS 2170,APPM 2350
PHYS 2600,APPM 2350,PHYS 2150,PHYS 2170
PHYS 2170,CHEM 1113,PHYS 2150,APPM 2350
PHYS 2150,PHYS 2170,CHEM 1113,WRTG 3030
PHYS 2600,PHYS 2170,PHYS 2150,WRTG 3030
CHEM 1113,PHYS 2150,PHYS 2170,WRTG 3030
PHYS 2150,PHYS 2170,CHEM 1113,APPM 2350
PHYS 2170,APPM 2350,PHYS 2150,CHEM 1113
APPM 2350,PHYS 2150,PHYS 2600,WRTG 3030
APPM 2350,PHYS 2170,PHYS 2600,PHYS 2150
PHYS 2170,APPM 2350,PHYS 2150,CHEM 1113
PHYS 2150,HUEN 3100,PHYS 2170,WRTG 3030
PHYS 2170,PHYS 2150,APPM 2350,WRTG 3030
APPM 2350,CHEM 1113,PHYS 2170,PHYS 2600
PHYS 2150,PHYS 2600,WRTG 3030,APPM 2350
APPM 2350,PHYS 2170,PHYS 2150,PHYS 2600
PHYS 2600,PHYS 2150,PHYS 2170,APPM 2350
APPM 2350,WRTG 3030,PHYS 2150,PHYS 2600
PHYS 2150,APPM 2350,PHYS 2170,HUEN 3100
APPM 2350,CHEM 1113,PHYS 2170,PHYS 2150
PHYS 2600,PHYS 2150,WRTG 3030,PHYS 2170
APPM 2350,CHEM 1113,PHYS 2150,WRTG 3030
PHYS 2170,PHYS 2150,CHEM 1113,PHYS 2600
PHYS 2600,APPM 2350,PHYS 2170,PHYS 2150
CHEM 1113,APPM 2350,PHYS 2150,PHYS 2170
PHYS 2170,APPM 2350,CHEM 1113,HUEN 3100
APPM 2350,WRTG 3030,PHYS 2600,HUEN 3100
PHYS 2150,APPM 2350,PHYS 2170,WRTG 3030
PHYS 2150,PHYS 2170,APPM 2350,PHYS 2600
CHEM 1113,PHYS 2170,PHYS 2150,APPM 2350
